countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
ARGENTINA,0.12,0.14,0.26,0.13,0.13,0.03,0.01,0.0,0.0,0.03,0.05,0.02,0.28,0.11,0.21,0.02,,0.0,,,,0.03,0.13,0.04,0.04,0.06
ARMENIA,0.0,0.01,0.0,0.01,0.02,0.02,0.01,0.11,0.02,0.02,0.01,0.06,0.02,0.01,0.0,0.02,0.01,,0.0,,0.01,,,,0.0,
AUSTRALIA,2.72,3.05,2.55,1.8,2.04,1.64,1.22,1.01,1.02,1.0,1.23,1.16,1.19,1.21,1.63,0.78,0.56,1.0,0.08,0.23,0.09,0.28,0.02,0.09,0.07,0.16
AUSTRIA,0.02,0.07,0.05,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.02,0.01,0.0,0.0,0.02,0.01,0.0,0.0,,,0.0,0.01,0.07,0.02
AZERBAIJAN,0.03,0.0,0.01,0.05,0.05,0.04,0.0,0.04,0.02,0.02,0.0,0.1,0.15,0.02,0.05,0.03,0.06,0.14,0.13,0.11,0.09,0.37,0.04,0.03,0.02,0.01
BAHARAIN IS,0.17,0.16,0.16,0.2,0.23,0.22,0.3,0.31,0.41,0.34,0.28,0.31,0.38,0.17,0.24,0.14,0.08,0.12,0.11,0.09,0.06,0.04,0.04,0.02,0.01,0.0
BANGLADESH PR,13.84,21.56,16.07,18.67,13.09,12.86,11.32,10.72,7.74,9.39,8.81,6.41,4.77,2.07,1.53,1.85,1.43,0.39,0.36,0.36,0.23,0.84,0.53,0.03,0.09,0.17
BARBADOS,0.0,,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,,0.0,,0.0,0.0,,0.0,,,0.07,,,0.0,,
BELIZE,0.0,0.0,,0.0,0.01,0.05,,0.01,0.0,0.0,0.01,0.02,0.01,,0.0,,,0.0,,,,,,,,
BELGIUM,0.03,0.19,0.36,0.27,0.3,0.48,0.19,0.33,0.45,0.36,0.83,0.1,0.15,0.05,1.57,0.32,0.16,0.05,0.01,0.07,0.03,0.0,0.01,,0.0,0.0
BENIN,0.11,0.0,0.0,0.07,0.25,0.17,0.15,0.27,0.15,0.12,0.13,0.47,1.1,0.53,0.48,0.26,0.34,0.11,0.1,0.0,0.02,0.02,0.06,,,
BHUTAN,1.46,1.78,1.25,0.97,0.89,1.19,1.22,1.17,1.09,0.72,0.02,0.01,0.0,0.01,,0.07,0.2,0.13,0.14,0.13,,,,,0.0,0.02
BOLIVIA,0.08,0.03,0.16,0.03,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,
BOSNIA-HRZGOVIN,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.05,0.04,0.01,0.0,0.02,,,,,
